$0,F,1000000,0,
$26,Z,0,0,
$1870654,W,547,128,
$1870664,W,551,128,
$1870666,W,555,128,
$1870667,W,559,128,
$1870668,W,544,0,
$1870669,W,545,0,
$1870671,W,546,0,
$1870672,W,548,0,
$1870673,W,549,0,
$1870674,W,550,0,
$1870676,W,552,0,
$1870676,W,553,0,
$1870678,W,554,0,
$1870679,W,556,0,
$1870680,W,557,0,
$1870681,W,558,0,
$1870682,W,547,0,
$1870684,W,551,0,
$1870684,W,555,0,
$1870686,W,559,0,
$7732343,W,576,136,
$7732353,W,577,10,
$11128358,W,578,56,
$11128368,W,579,12,
$13917466,W,582,152,
$13917478,W,583,15,
$191193387,W,576,0,
$191193402,W,577,8,
$193586696,W,578,0,
$193586706,W,579,8,
$195827528,W,582,0,
$195827541,W,583,8,
